Arctos_guid,Sp,Fam,ID,Field_Number,Sex,Age,Year,Month,State,County,Locality,Latitude,Longitude,BIO1_Annual_Mean_Temperature_30s,BIO2_Mean_Diurnal_Range_30s,BIO3_Isothermality_30s,BIO4_Temperature_Seasonality_30s,BIO5_Max_Temperature_of_Warmest_Month_30s,BIO6_Min_Temperature_of_Coldest_Month_30s,BIO7_Temperature_Annual_Range_30s,BIO8_Mean_Temperature_of_Wettest_Quarter_30s,BIO9_Mean_Temperature_of_Driest_Quarter_30s,BIO10_Mean_Temperature_of_Warmest_Quarter_30s,BIO11_Mean_Temperature_of_Coldest_Quarter_30s,BIO12_Annual_Precipitation_30s,BIO13_Precipitation_of_Wettest_Month_30s,BIO14_Precipitation_of_Driest_Month_30s,BIO15_Precipitation_Seasonality_coefficient.of.variation_30s,BIO16_Precipitation_of_Wettest_Quarter_30s,BIO17_Precipitation_of_Driest_Quarter_30s,BIO18_Precipitation_of_Warmest_Quarter_30s,BIO19_Precipitation_of_Coldest_Quarter_30s,Elevation_30s,TPC1,TPC2,PPC1,PPC2,elev.z.1,TPC1.z.1,TPC2.z.1,PPC1.z.1,PPC2.z.1,lat.z.1,Tissue_Type_Tested_Bd,Tissue_Type_Tested_Pr,Tissue_Type_Tested_Rv,Status_Bd,Status_Pr,Status_Rv,Pathogens_Tested_For,Overall_Infection_Status,Confirmed_Average_Bd_SQ,Confirmed_Average_Pr_SQ,Confirmed_Average_Rv_SQ,Overall_Average_SQ,Confirmed_Log10_Average_Bd_SQ,Confirmed_Log10_Average_Pr_SQ,Confirmed_Log10_Average_Rv_SQ
https://arctos.database.museum/guid/MSB:Herp:102761,Hyla cinerea,Hylidae,MSB:Herp:102761,LNB 1354,male,adult,2012,8,GA,Bryan,no locality description given,31.90931,-81.29993,19.07083,11.39167,39.69222,640.64404,32.8,4.1,28.7,26.36667,15.5,26.7,10.9,1262,178,61,34.53313,468,210,465,258,13,2.290503918,-0.681819956,0.648973517,-1.308943506,-0.798692162,0.798145308,-0.553520773,0.275574367,-0.898962479,-0.670710085,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:102775,Hyla cinerea,Hylidae,MSB:Herp:102775,LNB 1368,unknown,juvenile,2012,8,GA,Crisp,no locality given,31.88819,-83.80598,18.72083,13.04167,42.481,687.18616,33.5,2.8,30.7,11.4,19.41667,26.85,9.91667,1186,129,49,24.56861,367,203,347,342,90,1.864702929,1.568645868,-0.41454429,0.298262323,-0.378048711,0.649771381,1.273471193,-0.176028416,0.204842024,-0.67450172,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:102893,Hyla cinerea,Hylidae,MSB:Herp:102893,LNB 1486,male,adult,2013,5,GA,Telfair,no locality description given,32.0172,-82.88542,18.6125,13.25833,43.04654,678.33728,33.6,2.8,30.8,26.71667,19.25,26.71667,10,1158,127,57,23.28782,356,201,356,317,79,2.317662744,0.762252243,-0.437103366,0.433096225,-0.438140632,0.807609029,0.618817984,-0.185607702,0.297443896,-0.651340789,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104862,Pseudacris crucifer,Hylidae,MSB:Herp:104862,LNB 2023,male,adult,2020,3,OH,Washington,"Wayne National Forest - Marietta, Leith Run Recreation Area",39.44597,-81.15047,11.45,12.65,35.23677,879.84503,29.5,-6.4,35.9,22.03333,0.2,22.03333,0.2,1038,107,66,14.89705,304,215,304,215,206,-1.667993481,-0.037945769,-1.191162526,1.317947189,0.255647917,-0.581226324,-0.030805451,-0.505804705,0.905146071,0.6823328,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104864,Pseudacris crucifer,Hylidae,MSB:Herp:104864,LNB 2025,male,adult,2020,3,OH,Washington,"Wayne National Forest - Marietta, Leith Run Recreation Area",39.44597,-81.15047,11.45,12.65,35.23677,879.84503,29.5,-6.4,35.9,22.03333,0.2,22.03333,0.2,1038,107,66,14.89705,304,215,304,215,206,-1.667993481,-0.037945769,-1.191162526,1.317947189,0.255647917,-0.581226324,-0.030805451,-0.505804705,0.905146071,0.6823328,Liver_included_no_skin,Liver_included_no_skin,NA,0,0,NA,"Bd, Pr",0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104890,Rana clamitans,Ranidae,MSB:Herp:104890,LNB 2051,female,adult,2020,3,OH,Franklin,"Flooded grass (<12 inches deep) at intersection of railroad crossing, Camp Chase Trail, Alkire Rd",39.89138,-83.24255,10.67083,11.375,31.33609,939.55853,28.8,-7.5,36.3,19.88333,-1.4,21.81667,-1.4,964,106,55,21.01856,304,183,290,183,282,-2.347070861,-0.828105765,-1.903738609,0.757327704,0.670828466,-0.817856534,-0.67227974,-0.808386702,0.520121141,0.762296449,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104918,Rana clamitans,Ranidae,MSB:Herp:104918,LNB 2079,female,adult,2020,6,OH,Union,Alive on Bear Swamp Rd (149),40.28571,-83.46312,10.1375,11.225,30.17473,958.00482,28.9,-8.3,37.2,19.45,-2.13333,21.56667,-2.13333,927,102,49,22.7509,299,170,284,170,326,-2.636734801,-0.873344254,-2.272313808,0.592471851,0.911196152,-0.918792365,-0.709005628,-0.964895211,0.406900651,0.833089798,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104921,Rana catesbeiana,Ranidae,MSB:Herp:104921,LNB 2082,unknown,juvenile,2020,6,OH,Union,Alive on Bear Swamp Rd (149),40.29708,-83.47198,10.1125,11.225,30.17473,957.28815,28.9,-8.3,37.2,19.43333,-2.16667,21.53333,-2.16667,927,102,49,22.7509,299,170,284,170,328,-2.643568322,-0.87429192,-2.272313808,0.592471851,0.922121956,-0.921173562,-0.70977497,-0.964895211,0.406900651,0.835131033,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104926,Rana catesbeiana,Ranidae,MSB:Herp:104926,LNB 2087,unknown,juvenile,2020,6,OH,Union,Alive on Bear Swamp Rd (149),40.29708,-83.47198,10.1125,11.225,30.17473,957.28815,28.9,-8.3,37.2,19.43333,-2.16667,21.53333,-2.16667,927,102,49,22.7509,299,170,284,170,328,-2.643568322,-0.87429192,-2.272313808,0.592471851,0.922121956,-0.921173562,-0.70977497,-0.964895211,0.406900651,0.835131033,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
https://arctos.database.museum/guid/MSB:Herp:104927,Rana catesbeiana,Ranidae,MSB:Herp:104927,LNB 2088,unknown,juvenile,2020,6,OH,Union,Alive on Bear Swamp Rd (149),40.29708,-83.47198,10.1125,11.225,30.17473,957.28815,28.9,-8.3,37.2,19.43333,-2.16667,21.53333,-2.16667,927,102,49,22.7509,299,170,284,170,328,-2.643568322,-0.87429192,-2.272313808,0.592471851,0.922121956,-0.921173562,-0.70977497,-0.964895211,0.406900651,0.835131033,Liver_included_no_skin,NA,NA,0,NA,NA,Bd,0,NA,NA,NA,NA,NA,NA,NA
